date,close
2023-08-31,187.87
2023-09-01,189.46
2023-09-05,189.70
2023-09-06,177.56
2023-09-07,177.79
2023-09-08,178.18
2023-09-11,179.36
2023-09-12,174.21
2023-09-13,174.91
2023-09-14,175.01
2023-09-15,175.49
2023-09-18,177.97
2023-09-19,179.07
2023-09-20,175.49
2023-09-21,173.93
2023-09-22,173.75
2023-09-25,171.96
2023-09-26,171.21
2023-09-27,170.43
2023-09-28,170.69
2023-09-29,170.69
2023-10-02,173.75
2023-10-03,174.91
2023-10-04,177.49
2023-10-05,174.91
2023-10-06,177.49
2023-10-09,178.18
2023-10-10,178.39
2023-10-11,178.38
2023-10-12,180.71
2023-10-13,178.72
2023-10-16,178.72
2023-10-17,177.15
2023-10-18,175.84
2023-10-19,175.00
2023-10-20,172.62
2023-10-23,173.00
2023-10-24,173.44
2023-10-25,171.10
2023-10-26,168.22
2023-10-27,170.77
2023-10-30,170.29
2023-10-31,171.21
2023-11-01,173.97
2023-11-02,176.65
2023-11-03,176.65
2023-11-06,179.23
2023-11-07,181.82
2023-11-08,182.89
2023-11-09,182.41
2023-11-10,186.40
2023-11-13,187.44
2023-11-14,188.01
2023-11-15,188.74
2023-11-16,189.69
2023-11-17,189.71
2023-11-20,191.45
2023-11-21,190.64
2023-11-22,191.31
2023-11-24,189.97
2023-11-27,189.79
2023-11-28,190.40
2023-11-29,189.37
2023-11-30,189.95
2023-12-01,191.24
2023-12-04,189.43
2023-12-05,193.42
2023-12-06,192.32
2023-12-07,194.27
2023-12-08,195.71
2023-12-11,193.18
2023-12-12,194.71
2023-12-13,197.96
2023-12-14,198.11
2023-12-15,197.57
2023-12-18,195.89
2023-12-19,196.94
2023-12-20,193.60
2023-12-21,194.83
2023-12-22,193.97
2023-12-26,193.05
2023-12-27,193.15
2023-12-28,193.58
2023-12-29,192.53
2024-01-01,190.00
2024-01-02,185.85
2024-01-03,184.25
2024-01-04,181.91
2024-01-05,181.18
2024-01-08,185.56
2024-01-09,185.64
2024-01-10,186.19
2024-01-11,186.54
2024-01-12,185.92
2024-01-16,182.68
2024-01-17,182.21
2024-01-18,188.32
2024-01-19,188.63
2024-01-22,191.56
2024-01-23,193.89
2024-01-24,194.17
2024-01-25,194.17
2024-01-26,192.54
2024-01-29,191.81
2024-01-30,187.15
2024-01-31,184.40
2024-02-01,186.86
2024-02-02,185.85
2024-02-05,187.68
2024-02-06,189.30
2024-02-07,189.41
2024-02-08,188.32
2024-02-09,188.85
2024-02-12,187.15
2024-02-13,185.04
2024-02-14,184.15
2024-02-15,183.86
2024-02-16,182.32
2024-02-20,181.56
2024-02-21,182.32
2024-02-22,184.37
2024-02-23,182.52
2024-02-26,182.63
2024-02-27,182.63
2024-02-28,181.42
2024-02-29,180.75
2024-03-01,179.66
2024-03-04,176.48
2024-03-05,170.12
2024-03-06,169.12
2024-03-07,169.00
2024-03-08,170.73
2024-03-11,172.75
2024-03-12,173.23
2024-03-13,171.13
2024-03-14,173.00
2024-03-15,172.62
2024-03-18,173.72
2024-03-19,176.55
2024-03-20,178.67
2024-03-21,171.37
2024-03-22,172.28
2024-03-25,170.85
2024-03-26,169.71
2024-03-27,173.72
2024-03-28,171.48
2024-04-01,171.19
2024-04-02,170.77
2024-04-03,172.62
2024-04-04,169.89
2024-04-05,169.89
2024-04-08,168.45
2024-04-09,169.00
2024-04-10,164.90
2024-04-11,165.51
2024-04-12,167.04
2024-04-15,165.00
2024-04-16,165.84
2024-04-17,165.00
2024-04-18,165.67
2024-04-19,165.00
2024-04-22,166.90
2024-04-23,166.65
2024-04-24,170.59
2024-04-25,169.89
2024-04-26,173.57
2024-04-29,174.91
2024-04-30,170.33
2024-05-01,170.33
2024-05-02,173.57
2024-05-03,182.74
2024-05-06,181.71
2024-05-07,183.38
2024-05-08,182.15
2024-05-09,182.01
2024-05-10,183.05
2024-05-13,186.86
2024-05-14,187.43
2024-05-15,189.84
2024-05-16,189.98
2024-05-17,189.87
2024-05-20,191.04
2024-05-21,192.07
2024-05-22,190.90
2024-05-23,186.88
2024-05-24,189.98
2024-05-28,189.99
2024-05-29,190.29
2024-05-30,191.29
2024-05-31,192.25
2024-06-03,194.03
2024-06-04,194.35
2024-06-05,195.87
2024-06-06,194.48
2024-06-07,196.89
2024-06-10,193.12
2024-06-11,207.15
2024-06-12,213.07
2024-06-13,214.24
2024-06-14,212.49
2024-06-17,216.67
2024-06-18,214.29
2024-06-20,209.07
2024-06-21,209.82
2024-06-24,211.71
2024-06-25,214.04
2024-06-26,214.54
2024-06-27,214.37
2024-06-28,210.62
2024-07-01,216.75
2024-07-02,220.27
2024-07-03,221.55
2024-07-05,226.34
2024-07-08,228.70
2024-07-09,229.00
2024-07-10,232.98
2024-07-11,227.57
2024-07-12,230.54
2024-07-15,234.40
2024-07-16,234.40
2024-07-17,228.88
2024-07-18,224.18
2024-07-19,223.97
2024-07-22,223.96
2024-07-23,225.01
2024-07-24,218.54
2024-07-25,217.96
2024-07-26,217.79
2024-07-29,218.24
2024-07-30,218.80
2024-07-31,222.08
2024-08-01,218.81
2024-08-02,219.86
2024-08-05,209.82
2024-08-06,207.23
2024-08-07,209.79
2024-08-08,213.50
2024-08-09,213.49
2024-08-12,217.53
2024-08-13,221.72
2024-08-14,221.72
2024-08-15,224.72
2024-08-16,226.84
2024-08-19,225.89
2024-08-20,226.51
2024-08-21,226.40
2024-08-22,224.53
2024-08-23,226.84
2024-08-26,227.18
2024-08-27,228.03
2024-08-28,226.49
2024-08-29,229.00
2024-08-30,229.00
2024-09-03,222.77
2024-09-04,220.85
2024-09-05,222.38
2024-09-06,220.82
2024-09-09,220.11
2024-09-10,220.11
2024-09-11,222.50
2024-09-12,222.77
2024-09-13,222.68
2024-09-16,216.32
2024-09-17,216.79
2024-09-18,220.69
2024-09-19,223.87
2024-09-20,226.51
2024-09-23,226.51
2024-09-24,227.79
2024-09-25,226.37
2024-09-26,227.52
2024-09-27,227.79
2024-09-30,233.00
2024-10-01,226.22
2024-10-02,226.78
2024-10-03,225.67
2024-10-04,226.80
2024-10-07,221.69
2024-10-08,225.77
2024-10-09,229.04
2024-10-10,229.54
2024-10-11,227.55
2024-10-14,231.30
2024-10-15,233.67
2024-10-16,232.15
2024-10-17,232.15
2024-10-18,235.00
2024-10-21,236.48
2024-10-22,230.76
2024-10-23,230.19
2024-10-24,230.19
2024-10-25,231.41
2024-10-28,233.40
2024-10-29,233.67
2024-10-30,225.91
2024-10-31,225.91
2024-11-01,222.91
2024-11-04,222.01
2024-11-05,223.45
2024-11-06,222.72
2024-11-07,227.48
2024-11-08,228.22
2024-11-11,224.23
2024-11-12,224.23
2024-11-13,228.87
2024-11-14,228.52
2024-11-15,225.00
2024-11-18,228.28
2024-11-19,229.87
2024-11-20,229.00
2024-11-21,228.52
2024-11-22,229.00
2024-11-25,232.87
2024-11-26,235.00
2024-11-27,234.93
2024-11-29,237.33
2024-12-02,239.59
2024-12-03,242.65
2024-12-04,243.01
2024-12-05,243.04
2024-12-06,242.84
2024-12-09,247.96
2024-12-10,247.35
2024-12-11,246.75
2024-12-12,247.35
2024-12-13,248.13
2024-12-16,251.04
2024-12-17,253.48
2024-12-18,248.05
2024-12-19,254.49
2024-12-20,254.49
2024-12-23,255.27
2024-12-24,258.20
2024-12-26,259.02
2024-12-27,255.59
2024-12-30,252.25
2024-12-31,251.79
